Game_id,Score,Steps,Epsilon
229,0,70,0.774
230,1,48,0.773
231,0,23,0.772
232,0,53,0.771
233,0,25,0.77
234,0,26,0.769
235,0,91,0.768
236,0,25,0.767
237,1,26,0.766
238,0,254,0.765
239,0,84,0.764
240,0,107,0.763
241,0,160,0.762
242,0,132,0.761
243,1,48,0.76
244,1,45,0.759
245,0,30,0.758
246,0,29,0.757
247,0,44,0.756
248,1,57,0.755
249,0,54,0.754
250,0,62,0.753
251,1,159,0.752
252,0,26,0.751
253,0,100,0.75
254,0,54,0.749
255,0,40,0.748
256,0,136,0.747
257,0,74,0.746
258,0,36,0.745
259,0,64,0.744
260,0,14,0.743
261,0,22,0.742
262,0,113,0.741
263,0,72,0.74
264,0,61,0.739
265,0,66,0.738
266,1,20,0.737
267,1,13,0.736
268,0,30,0.735
269,0,85,0.734
270,0,95,0.733
271,0,141,0.732
272,0,43,0.731
273,0,35,0.73
274,1,99,0.729
275,0,40,0.728
276,0,24,0.727
277,0,30,0.726
278,0,34,0.725
279,1,6,0.724
280,0,81,0.723
281,0,28,0.722
282,1,18,0.721
283,0,18,0.72
284,0,40,0.719
285,1,114,0.718
286,0,30,0.717
287,0,60,0.716
288,0,47,0.715
289,1,24,0.714
290,1,131,0.713
291,1,61,0.712
292,1,12,0.711
293,0,26,0.71
294,1,54,0.709
295,1,131,0.708
296,0,57,0.707
297,0,27,0.706
298,0,33,0.705
299,0,41,0.704
300,0,65,0.703
301,0,55,0.702
302,0,279,0.701
303,0,42,0.7
304,1,50,0.699
305,0,21,0.698
306,1,34,0.697
307,1,29,0.696
308,0,26,0.695
309,0,48,0.694
310,0,51,0.693
311,0,18,0.692
312,1,22,0.691
313,0,52,0.69
314,0,55,0.689
315,1,16,0.688
316,0,67,0.6869999999999999
317,1,47,0.6859999999999999
318,0,55,0.6849999999999999
319,0,35,0.6839999999999999
320,0,13,0.6829999999999999
321,0,70,0.6819999999999999
322,0,81,0.6809999999999999
323,0,76,0.6799999999999999
324,1,37,0.6789999999999999
325,0,24,0.6779999999999999
326,1,43,0.6769999999999999
327,0,58,0.6759999999999999
328,0,35,0.6749999999999999
329,0,73,0.6739999999999999
330,0,57,0.6729999999999999
331,0,200,0.6719999999999999
332,0,70,0.6709999999999999
333,1,211,0.6699999999999999
334,1,48,0.6689999999999999
335,0,64,0.6679999999999999
336,1,74,0.6669999999999999
337,0,31,0.6659999999999999
338,0,34,0.6649999999999999
339,1,7,0.6639999999999999
340,0,45,0.6629999999999999
341,0,62,0.6619999999999999
342,0,59,0.6609999999999999
343,0,35,0.6599999999999999
344,1,94,0.6589999999999999
345,0,51,0.6579999999999999
346,2,118,0.6569999999999999
347,0,111,0.6559999999999999
348,0,44,0.6549999999999999
349,1,29,0.6539999999999999
350,0,76,0.6529999999999999
351,1,8,0.6519999999999999
352,1,34,0.6509999999999999
353,0,39,0.6499999999999999
354,0,54,0.6489999999999999
355,0,42,0.6479999999999999
356,0,103,0.6469999999999999
357,1,26,0.6459999999999999
358,0,22,0.6449999999999999
359,2,65,0.6439999999999999
360,0,22,0.6429999999999999
361,1,74,0.6419999999999999
362,0,105,0.6409999999999999
363,0,72,0.6399999999999999
364,0,103,0.6389999999999999
365,0,65,0.6379999999999999
366,2,26,0.6369999999999999
367,1,41,0.6359999999999999
368,0,18,0.6349999999999999
369,0,34,0.6339999999999999
370,0,120,0.6329999999999999
371,0,37,0.6319999999999999
372,1,30,0.6309999999999999
373,1,69,0.6299999999999999
374,1,50,0.6289999999999999
375,0,60,0.6279999999999999
376,0,48,0.6269999999999999
377,1,10,0.6259999999999999
